"","Country","Year","Place","Points","AverageOdds","BET.FRED","BET365","BETFAIR.EXCHANGE","BETFAIR.SPORT","BETWAY","BOYLE.SPORTS","BWIN","CORAL","SKY.BET","UNIBET"
"1","Netherlands",2019,1,498,1.536,1.57,1.5,1.66,1.44,1.5,1.5,1.5,1.57,1.57,1.55
"2","Italy",2019,2,472,7.5,9,5,10,8,8,6,8,6,7,8
"3","Switzerland",2019,4,364,9.35,11,6,14,7,10,6,11,8.5,9,11
"4","Australia",2019,9,284,11.8,11,11,14,8,15,10,15,10,11,13
"5","Sweden",2019,5,334,17.7,21,15,19,14,21,17,21,19,15,15
"6","Norway",2019,6,331,22.9,21,34,40,14,9,21,26,17,26,21
"7","Azerbaijan",2019,8,302,37.3,51,34,48,25,34,34,41,34,21,51
"8","Russia",2019,3,370,47.2,51,41,60,25,51,34,67,51,41,51
"9","Iceland",2019,10,232,57.5,51,51,80,25,67,51,51,81,67,51
"10","France",2019,16,105,65.6,51,67,95,25,67,51,67,101,81,51
"11","Denmark",2019,12,120,90.2,51,151,190,25,51,81,101,34,67,151
"12","Cyprus",2019,13,109,93.9,51,151,190,25,101,101,101,51,67,101
"13","Estonia",2019,20,76,117.3,51,151,180,25,101,151,251,81,101,81
"14","Spain",2019,22,54,144.8,101,251,290,50,101,151,101,101,151,151
"15","North Macedonia",2019,7,305,204.3,101,501,430,100,101,81,251,126,201,151
"16","Czech Republic",2019,11,157,209.3,101,501,460,50,201,201,151,126,151,151
"17","Malta",2019,14,107,252.8,101,501,820,100,151,201,101,201,201,151
"18","Greece",2019,21,74,245.8,101,501,750,50,101,201,151,201,251,151
"19","Serbia",2019,18,89,310.8,101,751,1000,50,101,301,251,201,201,151
"20","United Kingdom",2019,26,11,265.8,101,501,800,50,151,201,251,101,251,251
"21","Slovenia",2019,15,105,330.8,101,751,1000,100,251,301,251,201,201,151
"22","Belarus",2019,24,31,310.8,101,751,700,250,151,301,251,201,201,201
"23","Israel",2019,23,35,353.8,101,751,930,250,251,301,251,151,251,301
"24","Albania",2019,17,90,380.8,101,1001,1000,250,201,301,251,201,251,251
"25","Germany",2019,25,24,360.8,101,751,1000,100,251,301,251,151,201,501
"26","San Marino",2019,19,77,370.8,101,751,1000,100,251,301,251,201,251,501
