"","Year","(semi-) final","Edition","JuryOrTelevoting","FromCountry","ToCountry","Points","ToSameAsFrom","FinalOrSemiFinal"
"1",1975,"f","1975f","J","Belgium","Belgium",0,"yes","Final"
"2",1975,"f","1975f","J","Belgium","Finland",0,"no","Final"
"3",1975,"f","1975f","J","Belgium","France",2,"no","Final"
"4",1975,"f","1975f","J","Belgium","Germany",0,"no","Final"
"5",1975,"f","1975f","J","Belgium","Ireland",12,"no","Final"
"6",1975,"f","1975f","J","Belgium","Israel",1,"no","Final"
"7",1975,"f","1975f","J","Belgium","Italy",6,"no","Final"
"8",1975,"f","1975f","J","Belgium","Luxembourg",0,"no","Final"
"9",1975,"f","1975f","J","Belgium","Malta",7,"no","Final"
"10",1975,"f","1975f","J","Belgium","Monaco",0,"no","Final"
"11",1975,"f","1975f","J","Belgium","Norway",0,"no","Final"
"12",1975,"f","1975f","J","Belgium","Portugal",0,"no","Final"
"13",1975,"f","1975f","J","Belgium","Spain",4,"no","Final"
"14",1975,"f","1975f","J","Belgium","Sweden",0,"no","Final"
"15",1975,"f","1975f","J","Belgium","Switzerland",8,"no","Final"
"16",1975,"f","1975f","J","Belgium","The Netherlands",3,"no","Final"
"17",1975,"f","1975f","J","Belgium","Turkey",0,"no","Final"
"18",1975,"f","1975f","J","Belgium","United Kingdom",10,"no","Final"
"19",1975,"f","1975f","J","Belgium","Yugoslavia",5,"no","Final"
"20",1975,"f","1975f","J","Finland","Belgium",0,"no","Final"
"21",1975,"f","1975f","J","Finland","Finland",0,"yes","Final"
"22",1975,"f","1975f","J","Finland","France",0,"no","Final"
"23",1975,"f","1975f","J","Finland","Germany",0,"no","Final"
"24",1975,"f","1975f","J","Finland","Ireland",1,"no","Final"
"25",1975,"f","1975f","J","Finland","Israel",3,"no","Final"
"26",1975,"f","1975f","J","Finland","Italy",12,"no","Final"
"27",1975,"f","1975f","J","Finland","Luxembourg",5,"no","Final"
"28",1975,"f","1975f","J","Finland","Malta",0,"no","Final"
"29",1975,"f","1975f","J","Finland","Monaco",2,"no","Final"
"30",1975,"f","1975f","J","Finland","Norway",0,"no","Final"
"31",1975,"f","1975f","J","Finland","Portugal",0,"no","Final"
"32",1975,"f","1975f","J","Finland","Spain",8,"no","Final"
"33",1975,"f","1975f","J","Finland","Sweden",6,"no","Final"
"34",1975,"f","1975f","J","Finland","Switzerland",4,"no","Final"
"35",1975,"f","1975f","J","Finland","The Netherlands",10,"no","Final"
"36",1975,"f","1975f","J","Finland","Turkey",0,"no","Final"
"37",1975,"f","1975f","J","Finland","United Kingdom",7,"no","Final"
"38",1975,"f","1975f","J","Finland","Yugoslavia",0,"no","Final"
"39",1975,"f","1975f","J","France","Belgium",0,"no","Final"
"40",1975,"f","1975f","J","France","Finland",0,"no","Final"
"41",1975,"f","1975f","J","France","France",0,"yes","Final"
"42",1975,"f","1975f","J","France","Germany",0,"no","Final"
"43",1975,"f","1975f","J","France","Ireland",6,"no","Final"
"44",1975,"f","1975f","J","France","Israel",1,"no","Final"
"45",1975,"f","1975f","J","France","Italy",4,"no","Final"
"46",1975,"f","1975f","J","France","Luxembourg",3,"no","Final"
"47",1975,"f","1975f","J","France","Malta",8,"no","Final"
"48",1975,"f","1975f","J","France","Monaco",0,"no","Final"
"49",1975,"f","1975f","J","France","Norway",0,"no","Final"
